date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:18	307/307	---MCZ	200	added ('OK')	text/plain	etag:W/%22215-NDGnfY6JlQ/lf3hsfgyC/xVVBKw%22	https://www.improdenfer.com/robots.txt		(from )
18:14:19	671721/671721	---MCZ	200	added ('OK')	text/html	etag:W/%2267b2e016754bb9a139b60840ee5b8475%22	https://www.improdenfer.com/	Downloads/www.improdenfer.com/index.html	(from )
18:14:19	2957/2957	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Jun%202024%2016:14:19%20GMT	https://www.improdenfer.com/location.href	Downloads/www.improdenfer.com/location.0.delayed	(from https://www.improdenfer.com/)
18:14:22	592927/592927	---MCZ	200	added ('OK')	text/html	etag:W/%2215a21e6759010780496cca14f65548e7%22	https://www.improdenfer.com/spectacles	Downloads/www.improdenfer.com/spectacles.html	(from https://www.improdenfer.com/)
18:14:24	607059/607059	---MCZ	200	added ('OK')	text/html	etag:W/%229928bc1a201fc9fa953dd955911aa2a8%22	https://www.improdenfer.com/qui-sommes-nous	Downloads/www.improdenfer.com/qui-sommes-nous.html	(from https://www.improdenfer.com/)
18:14:25	546211/546211	---MCZ	200	added ('OK')	text/html	etag:W/%223562dfd849f449146f7a3137f5bf5976%22	https://www.improdenfer.com/termes-et-conditions	Downloads/www.improdenfer.com/termes-et-conditions.html	(from https://www.improdenfer.com/)
18:14:26	557553/557553	---MCZ	200	added ('OK')	text/html	etag:W/%228949de7810c160cfcd37edcfcf40d742%22	https://www.improdenfer.com/politique-de-cookies	Downloads/www.improdenfer.com/politique-de-cookies.html	(from https://www.improdenfer.com/)
18:14:26	548839/548839	---MCZ	200	added ('OK')	text/html	etag:W/%229e79062a586859058a73ec68882dbd72%22	https://www.improdenfer.com/mentions-l%c3%a9gales	Downloads/www.improdenfer.com/mentions-l%c3%a9gales.html	(from https://www.improdenfer.com/)
18:14:26	549999/549999	---MCZ	200	added ('OK')	text/html	etag:W/%22a4136f364b38a02b5325cdf99a7152b7%22	https://www.improdenfer.com/politique-de-confidentialit%c3%a9	Downloads/www.improdenfer.com/politique-de-confidentialit%c3%a9.html	(from https://www.improdenfer.com/)
18:14:26	361/361	---M--	200	added ('OK')	text/xml	etag:W/%22169-1tN6fI9XoioTbi//VqwmUvTMxGA%22	https://www.improdenfer.com/sitemap.xml	Downloads/www.improdenfer.com/sitemap.xml	(from https://www.improdenfer.com/)
18:14:27	2959/2959	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Jun%202024%2016:14:27%20GMT	https://www.improdenfer.com/feed.xml	Downloads/www.improdenfer.com/feed.8.delayed	(from https://www.improdenfer.com/)
18:14:28	2959/2959	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Jun%202024%2016:14:28%20GMT	https://www.improdenfer.com/${n.uri}	Downloads/www.improdenfer.com/${n.9.delayed	(from https://www.improdenfer.com/)
18:14:29	2959/2959	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Jun%202024%2016:14:29%20GMT	https://www.improdenfer.com/decodeURIComponent(e	Downloads/www.improdenfer.com/decodeURIComponent(e.a.delayed	(from https://www.improdenfer.com/)
